"Any";"Mes";"Codi_Districte";"Nom_Districte";"Codi_Barri";"Nom_Barri";"Sexe";"Demanda_ocupacio";"Nombre"
2022;1;10;"Sant MartÃ­";70;"el BesÃ²s i el Maresme";"Dones";"Demanda No Aturats";201
2022;1;10;"Sant MartÃ­";71;"ProvenÃ§als del Poblenou";"Dones";"Demanda No Aturats";137
2022;1;10;"Sant MartÃ­";72;"Sant MartÃ­ de ProvenÃ§als";"Dones";"Demanda No Aturats";190
2022;1;10;"Sant MartÃ­";73;"la Verneda i la Pau";"Dones";"Demanda No Aturats";215
2022;1;99;"No consta";99;"No consta";"Dones";"Demanda No Aturats";11
2022;1;1;"Ciutat Vella";1;"el Raval";"Homes";"Atur Registrat";1689
2022;1;1;"Ciutat Vella";2;"el Barri GÃ²tic";"Homes";"Atur Registrat";456
2022;1;1;"Ciutat Vella";3;"la Barceloneta";"Homes";"Atur Registrat";414
2022;1;1;"Ciutat Vella";4;"Sant Pere, Santa Caterina i la Ribera";"Homes";"Atur Registrat";575
2022;1;2;"Eixample";5;"el Fort Pienc";"Homes";"Atur Registrat";498
2022;1;2;"Eixample";6;"la Sagrada FamÃ­lia";"Homes";"Atur Registrat";789
2022;1;2;"Eixample";7;"la Dreta de l'Eixample";"Homes";"Atur Registrat";517
2022;1;2;"Eixample";8;"l'Antiga Esquerra de l'Eixample";"Homes";"Atur Registrat";531
2022;1;2;"Eixample";9;"la Nova Esquerra de l'Eixample";"Homes";"Atur Registrat";811
2022;1;2;"Eixample";10;"Sant Antoni";"Homes";"Atur Registrat";601
2022;1;3;"Sants-MontjuÃ¯c";11;"el Poble Sec";"Homes";"Atur Registrat";899
2022;1;3;"Sants-MontjuÃ¯c";12;"la Marina del Prat Vermell";"Homes";"Atur Registrat";55
2022;1;3;"Sants-MontjuÃ¯c";13;"la Marina de Port";"Homes";"Atur Registrat";680
2022;1;3;"Sants-MontjuÃ¯c";14;"la Font de la Guatlla";"Homes";"Atur Registrat";227
2022;1;3;"Sants-MontjuÃ¯c";15;"Hostafrancs";"Homes";"Atur Registrat";281
2022;1;3;"Sants-MontjuÃ¯c";16;"la Bordeta";"Homes";"Atur Registrat";329
2022;1;3;"Sants-MontjuÃ¯c";17;"Sants - Badal";"Homes";"Atur Registrat";328
2022;1;3;"Sants-MontjuÃ¯c";18;"Sants";"Homes";"Atur Registrat";650
2022;1;4;"Les Corts";19;"les Corts";"Homes";"Atur Registrat";647
2022;1;4;"Les Corts";20;"la Maternitat i Sant Ramon";"Homes";"Atur Registrat";324
2022;1;4;"Les Corts";21;"Pedralbes";"Homes";"Atur Registrat";87
2022;1;5;"SarriÃ -Sant Gervasi";22;"Vallvidrera, el Tibidabo i les Planes";"Homes";"Atur Registrat";41
2022;1;5;"SarriÃ -Sant Gervasi";23;"SarriÃ ";"Homes";"Atur Registrat";198
2022;1;5;"SarriÃ -Sant Gervasi";24;"les Tres Torres";"Homes";"Atur Registrat";160
2022;1;5;"SarriÃ -Sant Gervasi";25;"Sant Gervasi - la Bonanova";"Homes";"Atur Registrat";224
2022;1;5;"SarriÃ -Sant Gervasi";26;"Sant Gervasi - Galvany";"Homes";"Atur Registrat";388
2022;1;5;"SarriÃ -Sant Gervasi";27;"el Putxet i el FarrÃ³";"Homes";"Atur Registrat";369
2022;1;6;"GrÃ cia";28;"Vallcarca i els Penitents";"Homes";"Atur Registrat";248
2022;1;6;"GrÃ cia";29;"el Coll";"Homes";"Atur Registrat";101
2022;1;6;"GrÃ cia";30;"la Salut";"Homes";"Atur Registrat";203
2022;1;6;"GrÃ cia";31;"la Vila de GrÃ cia";"Homes";"Atur Registrat";753
2022;1;6;"GrÃ cia";32;"el Camp d'en Grassot i GrÃ cia Nova";"Homes";"Atur Registrat";507
2022;1;7;"Horta-GuinardÃ³";33;"el Baix GuinardÃ³";"Homes";"Atur Registrat";389
2022;1;7;"Horta-GuinardÃ³";34;"Can BarÃ³";"Homes";"Atur Registrat";145
2022;1;7;"Horta-GuinardÃ³";35;"el GuinardÃ³";"Homes";"Atur Registrat";630
2022;1;7;"Horta-GuinardÃ³";36;"la Font d'en Fargues";"Homes";"Atur Registrat";193
2022;1;7;"Horta-GuinardÃ³";37;"el Carmel";"Homes";"Atur Registrat";659
2022;1;7;"Horta-GuinardÃ³";38;"la Teixonera";"Homes";"Atur Registrat";231
2022;1;7;"Horta-GuinardÃ³";39;"Sant GenÃ­s dels Agudells";"Homes";"Atur Registrat";145
2022;1;7;"Horta-GuinardÃ³";40;"Montbau";"Homes";"Atur Registrat";105
2022;1;7;"Horta-GuinardÃ³";41;"la Vall d'Hebron";"Homes";"Atur Registrat";112
2022;1;7;"Horta-GuinardÃ³";42;"la Clota";"Homes";"Atur Registrat";8
2022;1;7;"Horta-GuinardÃ³";43;"Horta";"Homes";"Atur Registrat";557
2022;1;8;"Nou Barris";44;"Vilapicina i la Torre Llobeta";"Homes";"Atur Registrat";520
2022;1;8;"Nou Barris";45;"Porta";"Homes";"Atur Registrat";516
2022;1;8;"Nou Barris";46;"el TurÃ³ de la Peira";"Homes";"Atur Registrat";323
2022;1;8;"Nou Barris";47;"Can Peguera";"Homes";"Atur Registrat";45
2022;1;8;"Nou Barris";48;"la Guineueta";"Homes";"Atur Registrat";363
2022;1;8;"Nou Barris";49;"Canyelles";"Homes";"Atur Registrat";177
2022;1;8;"Nou Barris";50;"les Roquetes";"Homes";"Atur Registrat";384
2022;1;8;"Nou Barris";51;"Verdun";"Homes";"Atur Registrat";294
2022;1;8;"Nou Barris";52;"la Prosperitat";"Homes";"Atur Registrat";580
2022;1;8;"Nou Barris";53;"la Trinitat Nova";"Homes";"Atur Registrat";270
2022;1;8;"Nou Barris";54;"Torre BarÃ³";"Homes";"Atur Registrat";75
2022;1;8;"Nou Barris";55;"Ciutat Meridiana";"Homes";"Atur Registrat";392
2022;1;8;"Nou Barris";56;"Vallbona";"Homes";"Atur Registrat";45
2022;1;9;"Sant Andreu";57;"la Trinitat Vella";"Homes";"Atur Registrat";363
2022;1;9;"Sant Andreu";58;"BarÃ³ de Viver";"Homes";"Atur Registrat";45
2022;1;9;"Sant Andreu";59;"el Bon Pastor";"Homes";"Atur Registrat";254
2022;1;9;"Sant Andreu";60;"Sant Andreu";"Homes";"Atur Registrat";1028
2022;1;9;"Sant Andreu";61;"la Sagrera";"Homes";"Atur Registrat";470
2022;1;9;"Sant Andreu";62;"el CongrÃ©s i els Indians";"Homes";"Atur Registrat";229
2022;1;9;"Sant Andreu";63;"Navas";"Homes";"Atur Registrat";355
2022;1;10;"Sant MartÃ­";64;"el Camp de l'Arpa del Clot";"Homes";"Atur Registrat";671
2022;1;10;"Sant MartÃ­";65;"el Clot";"Homes";"Atur Registrat";490
2022;1;10;"Sant MartÃ­";66;"el Parc i la Llacuna del Poblenou";"Homes";"Atur Registrat";248
